,ID_x,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,scen_4,score_disctrib,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards,ID_y,annee,titre,premiere_semaine,budget
0,1317,Vivre!,AymericCormerais,Jean-JacquesLeVessier,GaelTanniou,LydieWai,YvonMarciano,,,YvonMarciano,,,,"0,01105",Comédie dramatique,,,,,,,France,7.0,10.0,2009.0,2.0,1.9,103.0,3012.0,,,,,,
1,2314,Pasazerka,AnnaCiepielewska,AleksandraSlaska,JanKreczmar,MarekWalczewski,AndrzejMunk,WitoldLesiewicz,,ZofiaPosmysz,AndrzejMunk,ZofiaPosmysz,,"0,01083",Drame,,,,,,,Pologne,28.0,10.0,1964.0,2.0,4.6,62.0,1420.0,,,,,,
2,3239,TheLodger:AStoryoftheLondonFog,MarieAult,ArthurChesney,ReginaldGardiner,AlfredHitchcock,AlfredHitchcock,,,EliotStannard,AlfredHitchcock,MarieBellocLowndes,,"0,01354",Policier, Drame,,,,,,Grande-Bretagne,17.0,11.0,2010.0,2.0,5.0,79.0,615.0,15240.0,,,,,
3,4389,SaoBernardo,RodolfoArena,OthonBastos,LuizCarlosBraga,JosefGuerreiro,LeonHirszman,,,LeonHirszman,GracilianoRamos,,,"0,01328",Drame,,,,,,,Brésil,11.0,6.0,2014.0,2.0,4.3,113.0,156.0,,,,,,
4,5134,ElOtroCristobal,JeanBouise,AldenKnight,BertinaAcevedo,PierreChaussat,ArmandGatti,,,ArmandGatti,AdamUlrych,,,"0,01423",Fantastique,,,,,,,Cuba,18.0,9.0,2019.0,2.0,4.0,115.0,436.0,,,,,,
5,5598,TorchSongTrilogy,AnneBancroft,MatthewBroderick,HarveyFierstein,BrianKerwin,PaulBogart,,,HarveyFierstein,HarveyFierstein,,,"0,01354",Comédie dramatique,,,,,,,U.S.A.,2.0,5.0,1990.0,2.0,4.0,120.0,661.0,4865997.0,,,,,
6,5818,Titanic,LeonardoDiCaprio,KateWinslet,BillyZane,KathyBates,JamesCameron,,,JamesCameron,,,,"0,02489",Drame, Romance,,,,,,U.S.A.,7.0,1.0,1998.0,2.0,4.9,194.0,498212.0,200000000.0,,,,,
7,5847,OctobreaParis,,,,,JacquesPanijel,,,,,,,"0,01144",Documentaire,,,,,,,France,19.0,10.0,2011.0,2.0,3.8,70.0,1651.0,,,,,,
8,6318,L'Enfer,EmmanuelleBeart,KarinViard,MarieGillain,CaroleBouquet,DanisTanovic,,,KryzsztofPiesiewicz,KrzysztofKieslowski,KryzsztofPiesiewicz,,"0,01427",Drame,,,,,,,France,30.0,11.0,2005.0,2.0,2.2,95.0,43689.0,595618.0,,,,,
9,6328,Anna,AnnaKarina,Jean-ClaudeBrialy,SergeGainsbourg,MarianneFaithfull,PierreKoralnik,,,PierreKoralnik,Jean-LoupDabadie,,,"0,01083",Comédie musicale, Romance,,,,,,France,13.0,1.0,1967.0,4.0,4.0,87.0,1417.0,,,,,,
10,6450,Tellmelies,MarkJones,RobertLloyd,GlendaJackson,EricAllan,PeterBrook,,,PeterBrook,MichaelKustow,MichaelScott(III),,"0,02281",Drame,,,,,,,Grande-Bretagne,10.0,10.0,2012.0,2.0,3.8,108.0,3901.0,,,,,,
11,6615,Grazuole,IngaMickyte,LilijaZhadeikyte,ArvidasSamukas,TaurasRagalevicius,ArunasZebriunas,,,JurijusJakovlevas,,,,"0,01423",Comédie dramatique,,,,,,,Lituanie,22.0,8.0,2018.0,2.0,3.9,65.0,1200.0,,,,,,
12,7118,Lesconvoyeursattendent,BenoitPoelvoorde,DominiqueBayens,BouliLanners,MorganeSimon,BenoitMariage,,,BenoitMariage,EmmanuelleBada,Jean-LucSeigle,,"0,02158",Comédie dramatique,,,,,,,Belgique,15.0,9.0,1999.0,2.0,3.5,94.0,52649.0,5518.0,,,,,
13,8037,Grandeuretdecadenced'unpetitcommercedecinema,Jean-PierreLeaud,Jean-PierreMocky,CarolineChampetier,NathalieRichard,Jean-LucGodard,,,JamesHadleyChase,Jean-LucGodard,,,"0,02175",Policier,,,,,,,Suisse,4.0,10.0,2017.0,2.0,4.0,91.0,1503.0,,,,,,
14,8615,Hanyo,Eun-shimLee,Jeung-nyeoJu,JinKyuKim,Sung-keeAhn,KimKi-Young,,,KimKi-Young,,,,"0,01354",Drame, Epouvante-horreur,,,,,,Corée du Sud,15.0,8.0,2012.0,2.0,4.1,111.0,6481.0,,,,,,
15,8727,2/dyuo,YuEri,HidetoshiNishijima,OtaniKenjiro,YamamotoMiyuki,NobuhiroSuwa,,,,,,,"0,01128",Drame,,,,,,,Japon,31.0,10.0,2012.0,2.0,3.9,90.0,1513.0,,,,,,
16,9906,Happy-Go-Lucky,SallyHawkins,AlexisZegerman,AndreaRiseborough,SineadMatthews,MikeLeigh,,,MikeLeigh,,,,"0,01548",Comédie,,,,,,,Grande-Bretagne,27.0,8.0,2008.0,2.0,3.9,118.0,110442.0,3512016.0,,,,,
17,10675,Cornouaille,VanessaParadis,SamuelLeBihan,JonathanZaccai,LaurentStocker,AnneLeNy,,,AnneLeNy,LucBeraud,,,"0,02266",Drame,,,,,,,France,15.0,8.0,2012.0,2.0,3.0,96.0,128162.0,1805634.0,12885.0,2012.0,Cornouaille,128162.0,6480000
18,10862,TheLionKing,,,,,RogerAllers,RobMinkoff,,JimCapobianco,IreneMecchi,LindaWoolverton,,"0,02489",Aventure, Animation, Famille, Comédie musicale,,,,U.S.A.,23.0,11.0,1994.0,2.0,3.4,89.0,210904.0,45000000.0,,,,,
19,11276,Parc,Jean-MarcBarr,SergiLopez,NathalieRichard,DelphineChuillot,ArnauddesPallieres,,,ArnauddesPallieres,JohnCheever,,,"0,02467",Drame,,,,,,,France,14.0,1.0,2009.0,2.0,2.8,109.0,4012.0,47307.0,10459.0,2009.0,Parc,4012.0,"3070853,64"
20,11295,BillyElliot,JamieBell,JulieWalters,GaryLewis,JamieDraven,StephenDaldry,,,LeeHall,,,,"0,01485",Comédie dramatique,,,,,,,Grande-Bretagne,20.0,12.0,2000.0,2.0,3.7,110.0,200445.0,5000000.0,2411.0,2000.0,BillyElliot,257958.0,5000000
21,11681,Imagesdefemmesoulecorsetsocial,CatherineBreillat,SharonStone,Lio,CatherineDeneuve,Jean-FrancoisFerrillon,,,Jean-FrancoisFerrillon,,,,"0,00526",Documentaire,,,,,,,France,5.0,1.0,2011.0,2.0,2.2,80.0,531.0,,,,,,
22,12791,PlanetoftheApes,CharltonHeston,RoddyMcDowall,KimHunter,MauriceEvans,FranklinJ.Schaffner,,,MichaelWilson,RodSerling,PierreBoulle,,"0,00499",Drame, Science Fiction,,,,,,U.S.A.,26.0,4.0,1968.0,4.0,4.0,110.0,175773.0,5800000.0,2085.0,2001.0,PlanetoftheApes,1728196.0,100000000
23,12958,Rupansansei:Kariosutoronoshiro,,,,,HayaoMiyazaki,,,HaruyaYamazaki,HayaoMiyazaki,MonkeyPunch,,"0,01009",Aventure, Animation,,,,,,Japon,7.0,3.0,2001.0,2.0,4.0,100.0,3360.0,33500000.0,,,,,
24,13182,Kalachakra,,,,,NatalieFuchs,,,NatalieFuchs,,,,"0,00633",Documentaire,,,,,,,France,27.0,9.0,2017.0,2.0,3.1,80.0,811.0,103056.0,,,,,
25,13602,Taipeistory,HouHsiao-Hsien,Su-yunKo,TsaiChin,WuNien-Jen,EdwardYang,,,EdwardYang,HouHsiao-Hsien,ChuTien-Wen,,"0,01354",Comédie dramatique,,,,,,,Taïwan,12.0,4.0,2017.0,2.0,4.3,119.0,3034.0,,,,,,
26,15112,LoZiodiBrooklyn,SalvatoreGattuso,PippoAugusta,SalvatoreSchiera,GaspareMarchione,DanieleCipri,FrancoMaresco,,DanieleCipri,FrancoMaresco,,,"0,01423",Comédie,,,,,,,Italie,3.0,7.0,2013.0,2.0,4.0,98.0,1450.0,,,,,,
27,15681,Rencontreavecledragon,DanielAuteuil,NicolasNollet,SergiLopez,EmmanuelleDevos,HeleneAngel,,,HeleneAngel,Jean-ClaudeJaner,AgnesDeSacy,,"0,01427",Aventure,,,,,,,France,6.0,8.0,2003.0,2.0,2.6,109.0,77178.0,649098.0,1581.0,2003.0,Rencontreavecledragon,77179.0,11113200
28,16591,Madagascar,,,,,EricDarnell,TomMcGrath,,BillyFrolick,EricDarnell,TomMcGrath,,"0,02331",Aventure, Animation, Comédie,,,,,U.S.A.,22.0,6.0,2005.0,2.0,3.6,86.0,874013.0,75000000.0,707.0,2005.0,Madagascar,874013.0,75000000
29,17344,Renaissance,RobertDauney,CrystalShepherd-Cross,IsabelleVanWaes,MaxHayter,ChristianVolckman,,,MatthieuDelaporte,AlexandreDeLaPatelliere,PatrickRaynal,,"0,03024",Animation,,,,,,,France,15.0,3.0,2006.0,2.0,3.7,95.0,141366.0,18000000.0,468.0,2006.0,Renaissance,141366.0,"15157733,04"
30,17393,Heritage,AshrafBarhom,HafsiaHerzi,HiamAbbass,YussefAbuWarda,HiamAbbass,,,HiamAbbass,AlaHlehel,NadineNaous,,"0,02412",Drame,,,,,,,France,12.0,12.0,2012.0,2.0,3.4,88.0,15897.0,,,,,,
31,17952,MyNameisJoe,PeterMullan,LouiseGoodall,DavidMcKay,DavidHayman,KenLoach,,,PaulLaverty,,,,"0,00000",Drame, Romance,,,,,,Grande-Bretagne,14.0,10.0,1998.0,2.0,3.5,105.0,34201.0,354952.0,,,,,
32,17965,LaRevoltedesjouets,,,,,BretislavPojar,HerminaTyrlova,,,,,,"0,01083",Animation,,,,,,,Tchécoslovaquie,4.0,4.0,2018.0,2.0,4.6,33.0,774.0,,,,,,
33,18477,TheHorseWhisperer,RobertRedford,KristinScottThomas,ScarlettJohansson,SamNeill,RobertRedford,,,EricRoth,RichardLaGravenese,NicholasEvans,,"0,00000",Drame, Romance,,,,,,U.S.A.,2.0,9.0,1998.0,2.0,3.2,160.0,45440.0,60000000.0,,,,,
34,18478,There'sSomethingaboutMary,BenStiller,CameronDiaz,MattDillon,ChrisElliott,PeterFarrelly,BobbyFarrelly,,EdwardDecter,PeterFarrelly,BobbyFarrelly,,"0,01439",Comédie,,,,,,,U.S.A.,11.0,11.0,1998.0,2.0,4.0,119.0,573347.0,23000000.0,,,,,
35,18524,TheMaskofZorro,AnthonyHopkins,AntonioBanderas,CatherineZeta-Jones,StuartWilson,MartinCampbell,,,JohnEskow,TedElliot,TerryRossio,,"0,00000",Action, Aventure, Romance,,,,,U.S.A.,14.0,10.0,1998.0,2.0,3.2,136.0,226753.0,95000000.0,,,,,
36,18598,SavingPrivateRyan,RyanHurst,TomHanks,TomSizemore,EdwardBurns,StevenSpielberg,,,RobertRodat,,,,"0,02331",Drame, Guerre,,,,,,U.S.A.,30.0,9.0,1998.0,2.0,3.0,163.0,165808.0,70000000.0,,,,,
37,18671,TheTrumanShow,JimCarrey,LauraLinney,NataschaMcElhone,EdHarris,PeterWeir,,,AndrewNiccol,,,,"0,00552",Comédie, Drame,,,,,,U.S.A.,28.0,10.0,1998.0,2.0,3.6,103.0,244990.0,60000000.0,,,,,
38,18832,PlaceVendome,CatherineDeneuve,JacquesDutronc,Jean-PierreBacri,FrancoisBerleand,NicoleGarcia,,,EmmanuelBourdieu,JacquesFieschi,NicoleGarcia,,"0,00000",Comédie dramatique,,,,,,,France,31.0,12.0,2015.0,3.0,2.4,117.0,37701.0,895788.0,,,,,
39,19170,AliceetMartin,JulietteBinoche,AlexisLoret,MathieuAmalric,CarmenMaura,AndreTechine,,,OlivierAssayas,GillesTaurand,AndreTechine,,"0,02579",Drame,,,,,,,France,4.0,11.0,1998.0,2.0,3.4,120.0,118215.0,500896.0,,,,,
40,19174,Hanuman,RobertCavanah,Tabu,NathalieAuffret,KhalidThiabji,FredFougea,,,FredFougea,MichelFessler,,,"0,00000",Aventure,,,,,,,France,1.0,1.0,2008.0,1.0,2.9,90.0,61461.0,8100000.0,,,,,
41,19184,TheXFiles,JeffreyDeMunn,MartinLandau,BlytheDanner,TerryO&#039;Quinn,RobBowman,,,ChrisCarter,FrankSpotnitz,,,"0,01549",Fantastique, Thriller,,,,,,Canada,21.0,10.0,1998.0,2.0,2.9,121.0,100301.0,66000000.0,,,,,
42,19280,Elizabeth,CateBlanchett,JosephFiennes,GeoffreyRush,EricCantona,ShekharKapur,,,MichaelHirst,,,,"0,01471",Drame, Historique,,,,,,Grande-Bretagne,11.0,11.0,1998.0,2.0,3.7,124.0,48243.0,30000000.0,,,,,
43,19403,TheNegotiator,SamuelL.Jackson,KevinSpacey,DavidMorse,RonRifkin,F.GaryGray,,,JamesDeMonaco,KevinFox,,,"0,03340",Policier, Thriller,,,,,,Allemagne,4.0,11.0,1998.0,2.0,3.5,140.0,85976.0,50000000.0,,,,,
44,19430,15aout,RichardBerry,CharlesBerling,Jean-PierreDarroussin,MelanieThierry,PatrickAlessandrin,,,LisaAzuelos,,,,"0,02372",Comédie,,,,,,,France,18.0,4.0,2001.0,2.0,3.0,92.0,344277.0,8100000.0,,,,,
45,19439,SnakeEyes,NicolasCage,JohnHeard,GarySinise,CarlaGugino,BrianDePalma,,,DavidKoepp,BrianDePalma,,,"0,01122",Policier, Drame, Thriller,,,,,U.S.A.,11.0,11.0,1998.0,2.0,4.3,98.0,442592.0,73000000.0,,,,,
46,19483,Antz,,,,,EricDarnell,TimJohnson,LawrenceGuterman,ToddAlcott,ChrisWeitz,PaulWeitz,,"0,02331",Aventure, Animation, Comédie, Famille,,,,U.S.A.,11.0,11.0,1998.0,2.0,3.4,83.0,421717.0,105000000.0,,,,,
47,19881,"Mai68,labelleouvrage",,,,,Jean-LucMagneron,,,,,,,"0,00758",Documentaire,,,,,,,France,25.0,4.0,2018.0,2.0,3.3,117.0,242.0,,,,,,
48,20151,Babel,BradPitt,CateBlanchett,GaelGarciaBernal,KojiYakusho,AlejandroGonzalezInarritu,,,GuillermoArriaga,GuillermoArriaga,AlejandroGonzalezInarritu,,"0,02158",Drame, Thriller,,,,,,France,15.0,11.0,2006.0,2.0,3.6,135.0,200643.0,25000000.0,387.0,2006.0,Babel,200643.0,25000000
49,20153,TheMummy,BrendanFraser,RachelWeisz,JohnHannah,ArnoldVosloo,StephenSommers,,,StephenSommers,NinaWilcoxPutnam,RichardSchayer,,"0,02331",Aventure, Fantastique,,,,,,U.S.A.,21.0,7.0,1999.0,2.0,3.1,125.0,36295.0,80000000.0,,,,,
50,20287,NottingHill,JuliaRoberts,HughGrant,RichardMcCabe,JamesDreyfus,RogerMichell,,,RichardCurtis,,,,"0,00563",Comédie, Romance,,,,,,U.S.A.,18.0,8.0,1999.0,2.0,3.9,124.0,266598.0,42000000.0,,,,,
51,20290,WildWildWest,WillSmith,KevinKline,KennethBranagh,SalmaHayek,BarrySonnenfeld,,,S.S.Wilson,BrentMaddock,JeffreyPrice,,"0,03340",Action, Aventure, Western,,,,,U.S.A.,4.0,8.0,1999.0,2.0,3.4,104.0,37616.0,170000000.0,,,,,
52,20350,Est-Ouest,SandrineBonnaire,OlegMenchikov,CatherineDeneuve,RubenTapiero,RegisWargnier,,,LouisGardel,RustemIbrahimbekov,RegisWargnier,,"0,01549",Drame, Romance,,,,,,France,1.0,9.0,1999.0,2.0,3.3,120.0,48850.0,11500000.0,,,,,
53,20381,TotoCheVisseDueVolte,SalvatoreGattuso,MarcelloMiranda,CarloGiordano,PietroArciadiacono,DanieleCipri,FrancescoMaresto,,DanieleCipri,LilloIacolino,FrancoMaresco,,"0,01423",Comédie, Drame,,,,,,Italie,10.0,6.0,2009.0,2.0,3.6,95.0,2120.0,8478.0,,,,,
54,20391,TheNinthGate,JohnnyDepp,FrankLangella,LenaOlin,EmmanuelleSeigner,RomanPolanski,,,JohnBrownjohn,EnriqueUrbizu,RomanPolanski,,"0,02579",Fantastique, Thriller,,,,,,U.S.A.,25.0,8.0,1999.0,2.0,3.2,132.0,101940.0,38000000.0,,,,,
55,20395,SouthPark:BiggerLonger&Uncut,,,,,TreyParker,,,TreyParker,MattStone,PamBrady,,"0,03340",Animation, Comédie, Musical,,,,,U.S.A.,25.0,8.0,1999.0,2.0,3.8,81.0,73036.0,21000000.0,,,,,
56,20445,LamaladiedeSachs,AlbertDupontel,ValerieDreville,DominiqueReymond,EtienneBierry,MichelDeville,,,MichelDeville,RosalindeDeville,MartinWinckler,,"0,00000",Comédie dramatique,,,,,,,France,22.0,9.0,1999.0,2.0,3.8,107.0,67152.0,,,,,,
57,20490,AMidsummerNight'sDream,BillIrwin,RupertEverett,SophieMarceau,MichellePfeiffer,MichaelHoffman,,,MichaelHoffman,WilliamShakespeare,,,"0,01549",Comédie, Fantastique, Romance,,,,,Grande-Bretagne,22.0,9.0,1999.0,2.0,2.9,115.0,41750.0,11000000.0,,,,,
58,20498,TheThomasCrownAffair,PierceBrosnan,ReneRusso,BenGazzara,FayeDunaway,JohnMcTiernan,,,LeslieDixon,KurtWimmer,AlanTrustman,,"0,02331",Policier, Romance, Thriller,,,,,U.S.A.,22.0,9.0,1999.0,2.0,3.1,105.0,324195.0,48000000.0,,,,,
59,20502,EyesWideShut,TomCruise,NicoleKidman,MadisonEginton,SydneyPollack,StanleyKubrick,,,StanleyKubrick,FredericRaphael,,,"0,03340",Drame, Erotique, Thriller,,,,,Grande-Bretagne,15.0,9.0,1999.0,2.0,4.1,159.0,389322.0,65000000.0,,,,,
60,20537,BigDaddy,AdamSandler,JoeyLaurenAdams,JonStewart,KristySwanson,DennisDugan,,,AdamSandler,TimHerlihy,,,"0,00000",Comédie,,,,,,,U.S.A.,22.0,9.0,1999.0,2.0,2.7,93.0,141577.0,34200000.0,,,,,
61,20544,LesEnfantsduSiecle,JulietteBinoche,BenoitMagimel,RobinRenucci,VictoireThivisol,DianeKurys,,,Francois-OlivierRousseau,MurrayHead,DianeKurys,,"0,02579",Biopic, Comédie dramatique, Historique,,,,,France,22.0,9.0,1999.0,2.0,2.8,135.0,170106.0,56611.0,,,,,
62,20754,StarWars:EpisodeI-ThePhantomMenace,LiamNeeson,EwanMcGregor,NataliePortman,JakeLloyd,GeorgeLucas,,,GeorgeLucas,,,,"0,02846",Aventure, Fantastique, Science Fiction,,,,,U.S.A.,13.0,10.0,1999.0,2.0,3.1,133.0,296406.0,115000000.0,,,,,
63,21382,Kasaba,MehmetEminToprak,HavvaSaglam,CihatButun,FatmaCeylan,NuriBilgeCeylan,,,NuriBilgeCeylan,EmineCeylan,,,"0,02134",Drame,,,,,,,Turquie,16.0,8.0,2023.0,2.0,3.7,84.0,3789.0,,,,,,
64,22015,KanashiminoBeradonna,,,,,EiichiYamamoto,,,YoshiyukiFukuda,EiichiYamamoto,,,"0,02334",Animation, Drame, Erotique, Fantastique,,,,Japon,15.0,6.0,2016.0,2.0,4.6,93.0,4142.0,105841.0,,,,,
65,22092,TheSixthSense,BruceWillis,HaleyJoelOsment,ToniCollette,OliviaWilliams,M.NightShyamalan,,,M.NightShyamalan,,,,"0,01122",Drame, Thriller,,,,,,U.S.A.,5.0,1.0,2000.0,2.0,4.0,107.0,806230.0,40000000.0,,,,,
66,22758,Legoutdesautres,Jean-PierreBacri,GerardLanvin,AlainChabat,AgnesJaoui,AgnesJaoui,,,AgnesJaoui,Jean-PierreBacri,,,"0,03024",Comédie dramatique, Romance,,,,,,France,1.0,3.0,2000.0,2.0,4.2,112.0,24000.0,891369.0,,,,,
67,23147,Femininplurielles,HafsiaHerzi,LiseBellynck,AnneSteffens,FriedeliseStutte,SebastienBailly,,,SebastienBailly,,,,"0,00592",Comédie dramatique,,,,,,,France,7.0,3.0,2018.0,2.0,3.1,82.0,435.0,194400.0,,,,,
68,23245,Perpetua664,,,,,ClaudiaNeubern,,,FabianRemy,Jean-MarieRemy,,,"0,00000",Documentaire,,,,,,,France,19.0,6.0,2013.0,2.0,2.7,79.0,102.0,,,,,,
69,23283,Grandir,DominiqueCabrera,,,,DominiqueCabrera,,,,,,,"0,01009",Documentaire,,,,,,,France,23.0,10.0,2013.0,2.0,3.4,93.0,324.0,,,,,,
70,23354,TheMessengers,KristenStewart,DylanMcDermott,PenelopeAnnMiller,JohnCorbett,OxideChunPang,DannyPang,,ToddFarmer,MarkWheaton,StuartBeattie,,"0,04368",Epouvante-horreur, Thriller,,,,,,U.S.A.,4.0,4.0,2007.0,2.0,1.7,91.0,53396.0,16000000.0,103.0,2007.0,TheMessengers,53396.0,16000000
71,24252,LaCliniquedel'amour!,BrunoSalomone,HelenaNoguerra,ArtusdePenguern,NatachaLindinger,ArtusdePenguern,,,ArtusdePenguern,GaborRassov,JeromeL&#039;hotsky,,"0,02334",Comédie,,,,,,,France,27.0,6.0,2012.0,2.0,3.4,83.0,47212.0,302101.0,12875.0,2012.0,LaCliniquedel'amour!,47212.0,4860000
72,25453,BloodSimple,JohnGetz,FrancesMcDormand,DanHedaya,M.EmmetWalsh,JoelCoen,EthanCoen,,JoelCoen,EthanCoen,,,"0,01439",Policier, Thriller,,,,,,U.S.A.,3.0,7.0,1985.0,2.0,4.7,96.0,2286.0,1500000.0,,,,,
73,25751,Ausuivant!,AlexandraLamy,ClovisCornillac,JulietteRoudet,JerryRudes,JeanneBiras,,,JeanneBiras,,,,"0,02372",Comédie, Romance,,,,,,France,6.0,7.0,2005.0,2.0,2.6,90.0,107723.0,1095027.0,863.0,2005.0,Ausuivant!,107723.0,5551200
74,25756,"Atlantis,theLostEmpire",,,,,KirkWise,GaryTrousdale,,TabMurphy,GaryTrousdale,JossWhedon,,"0,00000",Aventure, Animation, Famille,,,,,U.S.A.,28.0,11.0,2001.0,2.0,3.1,95.0,1148273.0,120000000.0,,,,,
75,25857,Mapetiteentreprise,VincentLindon,FrancoisBerleand,RoschdyZem,ZabouBreitman,PierreJolivet,,,PierreJolivet,SimonMichael,,,"0,02579",Comédie,,,,,,,France,1.0,9.0,1999.0,2.0,4.1,96.0,105862.0,3770000.0,,,,,
76,26157,Harrison'sFlowers,AndieMacDowell,DavidStrathairn,AdrienBrody,EliasKoteas,ElieChouraqui,,,DidierLePecheur,IsabelEllsen,MichaelKatims,,"0,00000",Drame, Guerre,,,,,,France,24.0,1.0,2001.0,2.0,3.8,130.0,80594.0,8000000.0,2219.0,2001.0,Harrison'sFlowers,80594.0,10206000
77,26287,PaneETulipani,LiciaMaglietta,GiuseppeBattiston,SilvanaBosi,BrunoGanz,SilvioSoldini,,,DorianaLeondeff,SilvioSoldini,,,"0,01496",Comédie,,,,,,,Suisse,5.0,6.0,2014.0,3.0,3.3,112.0,33632.0,5318679.0,,,,,
78,26389,Fayeungninwa,MaggieCheung,TonyLeungChiu-Wai,PingLamSiu,RebeccaPan,WongKar-Wai,,,WongKar-Wai,,,,"0,02257",Drame, Romance,,,,,,France,8.0,11.0,2000.0,2.0,4.6,98.0,37045.0,,,,,,
79,26404,LaVilleEstTranquille,ArianeAscaride,Jean-PierreDarroussin,PierreBanderet,VeroniqueBalme,RobertGuediguian,,,RobertGuediguian,Jean-LouisMilesi,,,"0,01427",Drame,,,,,,,France,17.0,1.0,2001.0,2.0,3.7,133.0,51072.0,66303.0,,,,,
80,26533,TheDayereh,MyriamParvinAlmani,NargessMamizadeh,FatemehNaghavi,MojganeFaramarzi,JafarPanahi,,,KambuziaPartovi,JafarPanahi,,,"0,01485",Drame,,,,,,,Iran,31.0,1.0,2001.0,2.0,4.4,90.0,35852.0,,,,,,
81,26561,Next,NicolasCage,JulianneMoore,JessicaBiel,ThomasKretschmann,LeeTamahori,,,GaryGoldman,JonathanHensleigh,PaulBernbaum,,"0,02295",Action, Science Fiction, Thriller,,,,,U.S.A.,25.0,4.0,2007.0,2.0,1.8,96.0,262793.0,70000000.0,,,,,
82,26706,Souslesable,CharlotteRampling,BrunoCremer,AlexandraStewart,PierreVernier,FrancoisOzon,,,FrancoisOzon,EmmanueleBernheim,MarinaDeVan,,"0,02287",Drame,,,,,,,Japon,7.0,2.0,2001.0,2.0,4.3,95.0,154347.0,1452698.0,2137.0,2001.0,Souslesable,154347.0,1857600
83,26730,Chopper,EricBana,VinceColosimo,DavidField,SimonLyndon,AndrewDominik,,,AndrewDominik,,,,"0,00544",Policier, Drame,,,,,,Australie,30.0,5.0,2001.0,2.0,2.8,94.0,22271.0,3250000.0,,,,,
84,26781,Delicieux,GregoryGadebois,IsabelleCarre,BenjaminLavernhe,GuillaumeDeTonquedec,EricBesnard,,,EricBesnard,NicolasBoukhrief,,,"0,02585",Comédie, Historique,,,,,,France,8.0,9.0,2021.0,2.0,3.3,113.0,130477.0,5400000.0,,,,,
85,26823,Windtalkers,NicolasCage,AdamBeach,ChristianSlater,RogerWillie,JohnWoo,,,JohnRice,JoeBatteer,,,"0,03024",Action, Drame, Guerre,,,,,U.S.A.,4.0,9.0,2002.0,2.0,3.3,134.0,221836.0,115000000.0,1835.0,2002.0,Windtalkers,221836.0,100000000
86,26825,TheShippingNews,KevinSpacey,JulianneMoore,JudiDench,CateBlanchett,LasseHallstrom,,,RobertNelsonJacobs,AnnieProulx,,,"0,00000",Drame,,,,,,,U.S.A.,27.0,2.0,2002.0,2.0,2.6,112.0,56630.0,38000000.0,2272.0,2001.0,TheShippingNews,56630.0,35000000
87,26832,TheOthers,NicoleKidman,ElaineCassidy,ChristopherEccleston,FionnulaFlanagan,AlejandroAmenabar,,,AlejandroAmenabar,,,,"0,02579",Drame, Fantastique, Epouvante-horreur,,,,,France,26.0,12.0,2001.0,2.0,4.5,105.0,434397.0,17000000.0,2105.0,2001.0,TheOthers,434397.0,17000000
88,26833,TheContender,JeffBridges,JoanAllen,GaryOldman,ChristianSlater,RodLurie,,,RodLurie,,,,"0,00624",Drame, Thriller,,,,,,Allemagne,6.0,3.0,2001.0,1.0,3.3,126.0,62009.0,20000000.0,2568.0,2000.0,TheContender,62009.0,9000000
89,26835,TheGift,CateBlanchett,GiovanniRibisi,KeanuReeves,KatieHolmes,SamRaimi,,,BillyBobThornton,TomEpperson,,,"0,02158",Drame, Epouvante-horreur, Thriller,,,,,U.S.A.,18.0,4.0,2001.0,2.0,3.2,112.0,162218.0,10000000.0,2477.0,2000.0,TheGift,162218.0,10000000
90,26839,TheTailorofPanama,PierceBrosnan,JamieLeeCurtis,GeoffreyRush,LeonorVarela,JohnBoorman,,,JohnBoorman,JohnLeCarre,AndrewDavies,,"0,01407",Espionnage,,,,,,,Irlande,30.0,5.0,2001.0,2.0,3.6,109.0,140875.0,21000000.0,2158.0,2001.0,TheTailorofPanama,140875.0,18000000
91,26840,Terminator3:RiseoftheMachines,ArnoldSchwarzenegger,KristannaLoken,NickStahl,ClaireDanes,JonathanMostow,,,JohnD.Brancato,MichaelFerris,TediSarafian,,"0,01407",Action, Science Fiction,,,,,,U.S.A.,6.0,8.0,2003.0,2.0,3.0,109.0,1506449.0,200000000.0,1408.0,2003.0,Terminator3:RiseoftheMachines,1506449.0,200000000
92,26849,SavetheLastDance,JuliaStiles,SeanPatrickThomas,KerryWashington,TerryKinney,ThomasCarter,,,DuaneAdler,CherylEdwards,,,"0,02331",Drame, Musical, Romance,,,,,U.S.A.,1.0,8.0,2001.0,2.0,2.7,112.0,127416.0,13000000.0,2150.0,2001.0,SavetheLastDance,127416.0,13000000
93,26851,Reinesd'unjour,KarinViard,HeleneFillieres,SergiLopez,VictorLanoux,MarionVernoux,,,MarionVernoux,NathalieKristy,,,"0,00000",Comédie dramatique,,,,,,,France,24.0,10.0,2001.0,2.0,3.4,94.0,195130.0,500407.0,2187.0,2001.0,Reinesd'unjour,135114.0,4363200
